Date,ACA.PA,AI.PA,AIR.PA,BNP.PA,CS.PA,DG.PA,EL.PA,KER.PA,MC.PA,OR.PA,RMS.PA,SAF.PA,SAN.PA,SU.PA,TTE.PA,^FCHI
2021-10-13,9.07443904876709,108.0799789428711,103.06465148925781,41.78798294067383,18.54638671875,73.79151916503906,146.6497344970703,569.8914794921875,603.1893310546875,340.7879333496094,1212.2476806640625,108.74364471435547,71.18553924560547,130.33624267578125,33.382057189941406,6597.3798828125
2021-10-14,9.10191535949707,109.61892700195312,104.00043487548828,41.98817443847656,18.70025062561035,74.039794921875,146.57684326171875,585.6358032226562,615.4579467773438,347.8876647949219,1228.978271484375,109.88182830810547,71.69686126708984,133.65538024902344,33.78703689575195,6685.2099609375
2021-10-15,9.289911270141602,110.2652816772461,105.41329193115234,42.8185920715332,18.877782821655273,74.97502136230469,150.22210693359375,591.5620727539062,613.2440185546875,347.51153564453125,1232.802490234375,111.86881256103516,71.44971466064453,133.76663208007812,34.292293548583984,6727.52001953125
2021-10-18,9.252311706542969,110.00365447998047,103.94539642333984,43.01136779785156,18.86200523376465,74.42050170898438,152.19056701660156,577.409912109375,599.591796875,344.0791931152344,1215.5938720703125,109.43814086914062,70.44410705566406,132.15341186523438,34.44272232055664,6673.10009765625
2021-10-19,9.271111488342285,110.08061218261719,103.04631042480469,43.07809829711914,18.88567352294922,75.05778503417969,153.06544494628906,575.287109375,595.90185546875,340.928955078125,1225.1541748046875,107.06533813476562,70.41854095458984,132.48716735839844,34.58156967163086,6669.85009765625
2021-10-20,9.33763313293457,110.68080139160156,102.8995132446289,43.13741683959961,18.933015823364258,75.70333099365234,153.79449462890625,571.9259033203125,605.2186889648438,342.5746154785156,1251.923095703125,105.15552520751953,71.95252990722656,132.3759307861328,34.60856246948242,6705.60986328125
2021-10-21,9.28557300567627,110.46534729003906,102.18391418457031,42.6999626159668,18.727867126464844,75.529541015625,154.65113830566406,569.2723999023438,608.5394897460938,347.2763977050781,1269.60986328125,106.67951965332031,71.54346466064453,130.28060913085938,34.111026763916016,6686.169921875
2021-10-22,9.365110397338867,110.09599304199219,100.71601867675781,42.78893280029297,18.893564224243164,75.12398529052734,156.23683166503906,571.4837646484375,615.5501708984375,364.9082336425781,1298.2904052734375,106.60234832763672,72.53203582763672,131.46734619140625,33.790897369384766,6733.68994140625
2021-10-25,9.440308570861816,109.9728775024414,99.15638732910156,43.1596565246582,18.881729125976562,74.44532012939453,155.7811737060547,566.0881958007812,608.6317138671875,360.958740234375,1284.9061279296875,103.940185546875,72.88995361328125,130.35479736328125,33.88344955444336,6712.8701171875
2021-10-26,9.428738594055176,110.35761260986328,100.86282348632812,43.13741683959961,19.292030334472656,75.85230255126953,157.33041381835938,573.871826171875,613.4285888671875,367.1651306152344,1290.1641845703125,108.47358703613281,72.99223327636719,132.4315643310547,33.74461364746094,6766.509765625
2021-10-27,9.379570960998535,111.20404052734375,100.91786193847656,42.87049102783203,19.260469436645508,75.88541412353516,154.85162353515625,573.164306640625,612.7827758789062,365.1903381347656,1276.3018798828125,108.0298843383789,73.09449768066406,135.6208953857422,33.659751892089844,6753.52001953125
2021-10-28,9.365110397338867,110.49612426757812,102.75273132324219,42.60356903076172,19.264413833618164,75.86885833740234,157.5309295654297,575.7294311523438,619.6089477539062,369.9862365722656,1303.548828125,110.0361557006836,73.28199005126953,138.0499725341797,33.397483825683594,6804.22021484375
2021-10-29,9.428738594055176,110.98858642578125,101.46832275390625,42.9298095703125,19.85224723815918,76.44820404052734,163.03529357910156,573.3411865234375,624.6824340820312,371.3967590332031,1310.240966796875,111.92668151855469,73.65695190429688,138.0499725341797,33.45533752441406,6830.33984375
2021-11-01,9.542984008789062,111.63494873046875,100.60592651367188,44.24216842651367,19.966659545898438,77.72274780273438,167.48252868652344,576.525390625,630.4016723632812,374.4530029296875,1324.103515625,110.94284057617188,75.25060272216797,138.17977905273438,33.578758239746094,6893.2900390625
2021-11-02,9.569013595581055,112.12740325927734,101.1930923461914,44.06422424316406,20.187591552734375,77.71446990966797,168.35740661621094,568.3878784179688,631.6929321289062,376.1455993652344,1337.010009765625,111.09716796875,76.36701202392578,139.2552490234375,33.69061279296875,6927.02978515625
2021-11-03,9.61095142364502,113.68173217773438,99.08299255371094,44.39787673950195,20.234933853149414,76.9696044921875,171.7839813232422,572.2798461914062,629.5714721679688,381.3646240234375,1356.608642578125,109.93971252441406,76.90389251708984,141.4062042236328,33.100502014160156,6950.64990234375
